ano_censo,dependencia_administrativa,localizacao,situacao_funcionamento,escolas,qt_mat_bas,qt_doc_bas,qt_tur_bas,matriculas_por_escola
2001,Privada,Urbana,Paralisado,2821,0.0,0.0,0.0,0.0
2002,Estadual,Rural,Ativa,8013,0.0,0.0,0.0,0.0
2002,Estadual,Rural,Extinto,562,0.0,0.0,0.0,0.0
2002,Estadual,Rural,Paralisado,1043,0.0,0.0,0.0,0.0
2002,Estadual,Urbana,Ativa,28185,0.0,0.0,0.0,0.0
2002,Estadual,Urbana,Extinto,419,0.0,0.0,0.0,0.0
2002,Estadual,Urbana,Paralisado,595,0.0,0.0,0.0,0.0
2002,Federal,Rural,Ativa,51,0.0,0.0,0.0,0.0
2002,Federal,Rural,Extinto,5,0.0,0.0,0.0,0.0
2002,Federal,Rural,Paralisado,12,0.0,0.0,0.0,0.0
2002,Federal,Urbana,Ativa,151,0.0,0.0,0.0,0.0
2002,Federal,Urbana,Paralisado,2,0.0,0.0,0.0,0.0
2002,Municipal,Rural,Ativa,98467,0.0,0.0,0.0,0.0
2002,Municipal,Rural,Extinto,7792,0.0,0.0,0.0,0.0
2002,Municipal,Rural,Paralisado,23806,0.0,0.0,0.0,0.0
2002,Municipal,Urbana,Ativa,45068,0.0,0.0,0.0,0.0
2002,Municipal,Urbana,Extinto,1270,0.0,0.0,0.0,0.0
2002,Municipal,Urbana,Paralisado,2389,0.0,0.0,0.0,0.0
2002,Privada,Rural,Ativa,901,0.0,0.0,0.0,0.0
2002,Privada,Rural,Extinto,58,0.0,0.0,0.0,0.0
2002,Privada,Rural,Paralisado,106,0.0,0.0,0.0,0.0
2002,Privada,Urbana,Ativa,33352,0.0,0.0,0.0,0.0
2002,Privada,Urbana,Extinto,1694,0.0,0.0,0.0,0.0
2002,Privada,Urbana,Paralisado,3045,0.0,0.0,0.0,0.0
2003,Estadual,Rural,Ativa,7891,0.0,0.0,0.0,0.0
2003,Estadual,Rural,Extinto,518,0.0,0.0,0.0,0.0
2003,Estadual,Rural,Paralisado,890,0.0,0.0,0.0,0.0
2003,Estadual,Urbana,Ativa,27887,0.0,0.0,0.0,0.0
2003,Estadual,Urbana,Extinto,439,0.0,0.0,0.0,0.0
2003,Estadual,Urbana,Paralisado,606,0.0,0.0,0.0,0.0
2003,Federal,Rural,Ativa,49,0.0,0.0,0.0,0.0
2003,Federal,Rural,Paralisado,8,0.0,0.0,0.0,0.0
2003,Federal,Urbana,Ativa,157,0.0,0.0,0.0,0.0
2003,Federal,Urbana,Paralisado,5,0.0,0.0,0.0,0.0
2003,Municipal,Rural,Ativa,94431,0.0,0.0,0.0,0.0
2003,Municipal,Rural,Extinto,6481,0.0,0.0,0.0,0.0
2003,Municipal,Rural,Paralisado,23110,0.0,0.0,0.0,0.0
2003,Municipal,Urbana,Ativa,46465,0.0,0.0,0.0,0.0
2003,Municipal,Urbana,Extinto,1237,0.0,0.0,0.0,0.0
2003,Municipal,Urbana,Paralisado,3047,0.0,0.0,0.0,0.0
2003,Privada,Rural,Ativa,957,0.0,0.0,0.0,0.0
2003,Privada,Rural,Extinto,50,0.0,0.0,0.0,0.0
2003,Privada,Rural,Paralisado,115,0.0,0.0,0.0,0.0
2003,Privada,Urbana,Ativa,34096,0.0,0.0,0.0,0.0
2003,Privada,Urbana,Extinto,1525,0.0,0.0,0.0,0.0
2003,Privada,Urbana,Paralisado,3441,0.0,0.0,0.0,0.0
2004,Estadual,Rural,Ativa,7771,0.0,0.0,0.0,0.0
2004,Estadual,Rural,Extinto,290,0.0,0.0,0.0,0.0
2004,Estadual,Rural,Paralisado,1015,0.0,0.0,0.0,0.0
2004,Estadual,Urbana,Ativa,27490,0.0,0.0,0.0,0.0
2004,Estadual,Urbana,Extinto,373,0.0,0.0,0.0,0.0
2004,Estadual,Urbana,Paralisado,659,0.0,0.0,0.0,0.0
2004,Federal,Rural,Ativa,47,0.0,0.0,0.0,0.0
2004,Federal,Rural,Paralisado,10,0.0,0.0,0.0,0.0
2004,Federal,Urbana,Ativa,155,0.0,0.0,0.0,0.0
2004,Federal,Urbana,Extinto,2,0.0,0.0,0.0,0.0
2004,Federal,Urbana,Paralisado,3,0.0,0.0,0.0,0.0
2004,Municipal,Rural,Ativa,91711,0.0,0.0,0.0,0.0
2004,Municipal,Rural,Extinto,5294,0.0,0.0,0.0,0.0
2004,Municipal,Rural,Paralisado,21813,0.0,0.0,0.0,0.0
2004,Municipal,Urbana,Ativa,47720,0.0,0.0,0.0,0.0
2004,Municipal,Urbana,Extinto,632,0.0,0.0,0.0,0.0
2004,Municipal,Urbana,Paralisado,2994,0.0,0.0,0.0,0.0
2004,Privada,Rural,Ativa,828,0.0,0.0,0.0,0.0
2004,Privada,Rural,Extinto,91,0.0,0.0,0.0,0.0
2004,Privada,Rural,Paralisado,212,0.0,0.0,0.0,0.0
2004,Privada,Urbana,Ativa,34372,0.0,0.0,0.0,0.0
2004,Privada,Urbana,Extinto,1480,0.0,0.0,0.0,0.0
2004,Privada,Urbana,Paralisado,3295,0.0,0.0,0.0,0.0
2005,Estadual,Rural,Ativa,6653,0.0,0.0,0.0,0.0
2005,Estadual,Rural,Extinto,414,0.0,0.0,0.0,0.0
2005,Estadual,Rural,Paralisado,1270,0.0,0.0,0.0,0.0
2005,Estadual,Urbana,Ativa,27065,0.0,0.0,0.0,0.0
2005,Estadual,Urbana,Extinto,503,0.0,0.0,0.0,0.0
2005,Estadual,Urbana,Paralisado,714,0.0,0.0,0.0,0.0
2005,Federal,Rural,Ativa,48,0.0,0.0,0.0,0.0
2005,Federal,Rural,Extinto,2,0.0,0.0,0.0,0.0
2005,Federal,Rural,Paralisado,9,0.0,0.0,0.0,0.0
2005,Federal,Urbana,Ativa,160,0.0,0.0,0.0,0.0
2005,Federal,Urbana,Extinto,1,0.0,0.0,0.0,0.0
2005,Federal,Urbana,Paralisado,1,0.0,0.0,0.0,0.0
2005,Municipal,Rural,Ativa,89075,0.0,0.0,0.0,0.0
2005,Municipal,Rural,Extinto,6780,0.0,0.0,0.0,0.0
2005,Municipal,Rural,Paralisado,21082,0.0,0.0,0.0,0.0
2005,Municipal,Urbana,Ativa,48718,0.0,0.0,0.0,0.0
2005,Municipal,Urbana,Extinto,1431,0.0,0.0,0.0,0.0
2005,Municipal,Urbana,Paralisado,3008,0.0,0.0,0.0,0.0
2005,Privada,Rural,Ativa,781,0.0,0.0,0.0,0.0
2005,Privada,Rural,Extinto,135,0.0,0.0,0.0,0.0
2005,Privada,Rural,Paralisado,210,0.0,0.0,0.0,0.0
2005,Privada,Urbana,Ativa,34734,0.0,0.0,0.0,0.0
2005,Privada,Urbana,Extinto,1445,0.0,0.0,0.0,0.0
2005,Privada,Urbana,Paralisado,3864,0.0,0.0,0.0,0.0
2006,Estadual,Rural,Ativa,6381,0.0,0.0,0.0,0.0
2006,Estadual,Rural,Extinto,310,0.0,0.0,0.0,0.0
2006,Estadual,Rural,Paralisado,1258,0.0,0.0,0.0,0.0
2006,Estadual,Urbana,Ativa,26955,0.0,0.0,0.0,0.0
